2025-11-29 02:26:26 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
2025-11-29 02:27:13 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:27:13 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:27:13 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:27:13 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:27:16 | INFO     | ✅ Browser setup successful (Viewport: 1233x847)
2025-11-29 02:27:16 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:27:16 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 02:27:16 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:27:16 | INFO     | Navigating to listing...
2025-11-29 02:27:17 | DEBUG    | ⏳ Delay: 1.64s (navigating)
2025-11-29 02:27:18 | INFO     | Scrolling to load dynamic content...
2025-11-29 02:27:18 | DEBUG    | ⏳ Delay: 1.93s (default)
2025-11-29 02:27:20 | INFO     | Searching for message button...
2025-11-29 02:27:28 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:27:28 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:27:28 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:27:28 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:27:29 | INFO     | ✅ Browser setup successful (Viewport: 1534x887)
2025-11-29 02:27:29 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:27:29 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 02:27:29 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:27:29 | INFO     | Navigating to listing...
2025-11-29 02:27:31 | DEBUG    | ⏳ Delay: 3.64s (navigating)
